Program,Study year,Semester,Course,Student ID,Position in Rating,Average Grade,Minimal Grade,Percentile,GPA
Информатика и вычислительная техника,2024/2025,1,1,Студент 7824054,120 - 124,7.29,6,40.61%,7.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 8327189,120 - 124,7.86,5,40.61%,7.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 4962665,125,7.71,6,42.32%,7.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 5753540,126 - 135,7.43,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 3509580,126 - 135,7.29,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 769814,126 - 135,7.57,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 3246573,126 - 135,7.43,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 8201864,126 - 135,7.29,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 1351589,126 - 135,7.14,5,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 3748470,126 - 135,6.86,4,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 4121443,126 - 135,7.29,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 6786050,126 - 135,7.71,5,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 1573836,126 - 135,7.14,6,42.66%,7.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 1220961,136,7.29,7,46.08%,7.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 1037338,137,7.43,6,46.42%,7.21
Информатика и вычислительная техника,2024/2025,1,1,Студент 37079,138,7.29,6,46.76%,7.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 5441308,139 - 142,7.29,5,47.1%,7.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 4061507,139 - 142,6.14,0,47.1%,7.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 8910985,139 - 142,7.29,6,47.1%,7.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 4520173,139 - 142,7.29,6,47.1%,7.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 205418,143 - 146,7.57,5,48.46%,7.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 7555920,143 - 146,7.29,5,48.46%,7.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 5842098,143 - 146,7.29,6,48.46%,7.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 6720035,143 - 146,7.29,6,48.46%,7.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 4992919,147 - 149,6.86,6,49.83%,7.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 205582,147 - 149,7.43,5,49.83%,7.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 3711596,147 - 149,7.14,6,49.83%,7.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 5918536,150 - 154,7.43,4,50.85%,6.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 8892557,150 - 154,7.57,5,50.85%,6.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 4630917,150 - 154,7.14,6,50.85%,6.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 7431480,150 - 154,7.43,4,50.85%,6.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 6651626,150 - 154,7.29,5,50.85%,6.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 3809707,155 - 159,7.57,4,52.56%,6.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 4688921,155 - 159,7.29,6,52.56%,6.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 1529899,155 - 159,7.29,4,52.56%,6.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 5006871,155 - 159,6.71,4,52.56%,6.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 6306869,155 - 159,7.14,6,52.56%,6.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 1592454,160 - 162,6.86,4,54.27%,6.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 1084881,160 - 162,6.71,5,54.27%,6.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 6727225,160 - 162,7,4,54.27%,6.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 9391504,163 - 166,7.14,6,55.29%,6.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 9913390,163 - 166,7.29,5,55.29%,6.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 4984084,163 - 166,7.43,4,55.29%,6.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 9182124,163 - 166,7.14,5,55.29%,6.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 3843999,167,6.86,5,56.66%,6.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 8185856,168 - 172,6.86,5,57%,6.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 5218856,168 - 172,6.71,6,57%,6.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 7536201,168 - 172,6.57,4,57%,6.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 9295585,168 - 172,6.86,6,57%,6.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 926781,168 - 172,6.71,5,57%,6.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 9524729,173 - 174,6.71,5,58.7%,6.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 6240641,173 - 174,6.57,4,58.7%,6.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 4556650,175 - 177,7.14,5,59.39%,6.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 8742150,175 - 177,6.57,4,59.39%,6.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 4900300,175 - 177,7,5,59.39%,6.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 7672381,178 - 179,6.71,5,60.41%,6.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 32549,178 - 179,7,4,60.41%,6.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 4439330,180 - 182,6.86,4,61.09%,6.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 826818,180 - 182,6.29,5,61.09%,6.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 1417143,180 - 182,7,5,61.09%,6.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 6042037,183 - 185,6.57,6,62.12%,6.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 2982835,183 - 185,7.14,4,62.12%,6.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 9779768,183 - 185,6.57,5,62.12%,6.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 4201083,186 - 191,6.71,4,63.14%,6.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 8203203,186 - 191,6.14,3,63.14%,6.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 9882041,186 - 191,6.71,5,63.14%,6.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 5518291,186 - 191,6.86,4,63.14%,6.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 9416046,186 - 191,6.57,5,63.14%,6.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 2683665,186 - 191,6.86,5,63.14%,6.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 4808058,192 - 194,6.71,5,65.19%,6.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 712059,192 - 194,6.57,4,65.19%,6.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 7369890,192 - 194,7,4,65.19%,6.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 3080401,195 - 198,6.57,5,66.21%,6.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 5512779,195 - 198,6.71,4,66.21%,6.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 5330815,195 - 198,6.71,4,66.21%,6.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 800923,195 - 198,6.29,4,66.21%,6.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 6144993,199 - 202,6.57,5,67.58%,6.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 2224274,199 - 202,6.14,5,67.58%,6.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 7179561,199 - 202,6.43,5,67.58%,6.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 1644472,199 - 202,6.14,5,67.58%,6.16
Информатика и вычислительная техника,2024/2025,1,1,Студент 1863667,203 - 208,6.43,5,68.94%,6.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 3841788,203 - 208,6.43,4,68.94%,6.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 96380,203 - 208,5.71,4,68.94%,6.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 3071806,203 - 208,6,5,68.94%,6.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 7934381,203 - 208,5.57,3,68.94%,6.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 1610471,203 - 208,6.29,5,68.94%,6.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 5488871,209,6,6,70.99%,6.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 3664733,210 - 211,6.57,5,71.33%,5.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 2673098,210 - 211,6.57,4,71.33%,5.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 541706,212 - 214,6.43,5,72.01%,5.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 3811990,212 - 214,6.43,4,72.01%,5.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 4991887,212 - 214,5.86,4,72.01%,5.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 7338177,215 - 219,6.29,4,73.04%,5.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 3169483,215 - 219,6.29,4,73.04%,5.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 4153985,215 - 219,5.71,4,73.04%,5.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 6243186,215 - 219,6.43,4,73.04%,5.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 965170,215 - 219,6.29,4,73.04%,5.84
Информатика и вычислительная техника,2024/2025,1,1,Студент 992221,220 - 221,5.71,5,74.74%,5.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 857964,220 - 221,6,5,74.74%,5.79
Информатика и вычислительная техника,2024/2025,1,1,Студент 1098641,222 - 223,5.86,5,75.43%,5.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 6774360,222 - 223,6,4,75.43%,5.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 7217723,224 - 226,6.14,4,76.11%,5.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 4328352,224 - 226,6.14,4,76.11%,5.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 9133551,224 - 226,6.14,4,76.11%,5.68
Информатика и вычислительная техника,2024/2025,1,1,Студент 6191233,227,5.88,5,77.13%,5.64
Информатика и вычислительная техника,2024/2025,1,1,Студент 756610,228 - 232,6.14,3,77.47%,5.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 7768390,228 - 232,6.14,3,77.47%,5.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 1877149,228 - 232,5.86,4,77.47%,5.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 1873599,228 - 232,6.29,4,77.47%,5.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 2333309,228 - 232,5.71,5,77.47%,5.63
Информатика и вычислительная техника,2024/2025,1,1,Студент 1888955,233 - 236,6.14,4,79.18%,5.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 1519022,233 - 236,5.43,3,79.18%,5.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 2163799,233 - 236,6.29,3,79.18%,5.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 8515938,233 - 236,6.14,4,79.18%,5.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 3121985,237,6.14,4,80.55%,5.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 109337,238 - 240,5.71,4,80.89%,5.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 2242592,238 - 240,6,4,80.89%,5.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 5930147,238 - 240,5.86,4,80.89%,5.47
Информатика и вычислительная техника,2024/2025,1,1,Студент 3383520,241 - 242,5.43,3,81.91%,5.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 2968413,241 - 242,5.86,4,81.91%,5.42
Информатика и вычислительная техника,2024/2025,1,1,Студент 5669476,243,4.5,3,82.59%,5.40
Информатика и вычислительная техника,2024/2025,1,1,Студент 2924401,244 - 248,5.57,4,82.94%,5.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 6910551,244 - 248,5.57,4,82.94%,5.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 5795398,244 - 248,5.57,4,82.94%,5.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 2207681,244 - 248,6,4,82.94%,5.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 9812122,244 - 248,6,4,82.94%,5.37
Информатика и вычислительная техника,2024/2025,1,1,Студент 6104866,249 - 251,5.71,3,84.64%,5.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 8997174,249 - 251,5.14,3,84.64%,5.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 7441445,249 - 251,5.43,4,84.64%,5.32
Информатика и вычислительная техника,2024/2025,1,1,Студент 2994342,252 - 253,5.43,4,85.67%,5.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 9371150,252 - 253,5.71,4,85.67%,5.26
Информатика и вычислительная техника,2024/2025,1,1,Студент 9124906,254,5.43,4,86.35%,5.11
Информатика и вычислительная техника,2024/2025,1,1,Студент 9670475,255,5.29,4,86.69%,5.05
Информатика и вычислительная техника,2024/2025,1,1,Студент 3971526,256 - 259,5.57,3,87.03%,5.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 1813624,256 - 259,5.29,3,87.03%,5.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 3617358,256 - 259,5.14,3,87.03%,5.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 8405766,256 - 259,5.14,4,87.03%,5.00
Информатика и вычислительная техника,2024/2025,1,1,Студент 9962452,260 - 261,5.57,2,88.4%,4.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 4769833,260 - 261,5.14,4,88.4%,4.95
Информатика и вычислительная техника,2024/2025,1,1,Студент 7517917,262,5.57,3,89.08%,4.89
Информатика и вычислительная техника,2024/2025,1,1,Студент 2057491,263,5.13,4,89.42%,4.82
Информатика и вычислительная техника,2024/2025,1,1,Студент 6407320,264 - 266,5,4,89.76%,4.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 2481086,264 - 266,5.14,2,89.76%,4.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 8352670,264 - 266,5.57,2,89.76%,4.74
Информатика и вычислительная техника,2024/2025,1,1,Студент 8777944,267 - 268,5,3,90.78%,4.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 958739,267 - 268,5.14,4,90.78%,4.58
Информатика и вычислительная техника,2024/2025,1,1,Студент 3951174,269,4.86,4,91.47%,4.53
Информатика и вычислительная техника,2024/2025,1,1,Студент 4245715,270,5,4,91.81%,4.50
Информатика и вычислительная техника,2024/2025,1,1,Студент 6495654,271,4.57,4,92.15%,4.47
